#,tractate,fromLine,fromWordIndex,fromWord,toLine,toWordIndex,toWord,composition,compositionLocation,excerpt,comments,year,כרטיס בכרטסת,כרטיס בסריקה
13508,yevamot,48,1,ר',49,31,צרתה.,"חידושי הרמב""ן - יבמות","עמוד כג [יב ע""ב, (ע""א אצל פינצ'וק)]","הא דאמרינן צרת איילונית מותרת, מצינו בירושלמי ששאלו טעמו של דבר וכך אמרו שם, ר' בון בר' חייא אמר ר' אבא בר ממל בעי, אילונית ואשת אחיו שלא הי' בעולמו צרתה אסורה, א""ל איילונית מטעם אחר הוצאת, אשר תלד יצתה זו שאינה יולדת, לא דייך שאינה מתייבמת אלא שאתה מבקש לאסור צרתה, אבל אשת אחיו שלא הי' בעולמו ערוה היא וערוה פוטרת צרתה... אלא שאמרו בירושלמי בסוף השמועה ?אלו בתו מן הנשואין בלא איילונית צרתה אסורה מפני שנתוסף לה אילונית צרתה מותרת, אמר ליה אילונית כמי שאינה בעולם, אלו שתי יבמות אחת איילונית ואחת שאינה איילונית ובא היבם וחלץ לה ובא עלי' שמא פטר בחברתה כלום הרי אילונית כמי שאינה. בעולם אלו שתי יבמות אחת אילונית ואחת שאינה אילונית ובא היבם וחלץ לה ובא עליה שמא פטר בחברתה כלום הוי אילונית כמי שאינה, פי' כיון שאם בא על אילונית או חלץ לה אין צרתה פטורה אע""פ שאין איילונית עליו ערוה נמצא שאין עליה זיקה כלל וכיון שכן הויא לה צרתה צרת ערוה שלא במקום מצוה, כדברי רש""י ז""ל בשם בעל הלכות ז""ל","[פלורסהיים ג(א), ע' טז]",1250,3,707_00240389
,yevamot,54,4,אם,54,17,עוקרת.,"חי' הרשב""א - יבמות","יג ע”א ד""ה הא דאמרינן",והא דלא כירושלמי דגרסי' התם אם באומרת אי אפשי לא בנשואיך ולא בנשואי אחיך כל עמא מודו שהיא עוקרת,,1275,,
31156,yevamot,57,7,תיפתר,57,20,מתייבמת'',"חי' הרשב""א - יבמות","יג ע""א, עמ' סז ד""ה : צרת ערוה שאני",[הא דפרקינן צרת ערוה שאני כדרמי בר יחזקאל הוא הדין דהוה מצי לתרוצי כגון שמתה דשוב אינה יכולה למאן והכי מוקי לה בירושלמי,שם: 'תיפתר שמתו ולא מיאנו',1275,5,450_00271216
7418,yevamot,0,*,,,*,0,"חידושי הריטב""א-יבמות","יב, ב (עמ' רל)","פרש""י ז""ל בשם ב""ה ז""ל דכיון דבתו אילונית היא ולא חזיא לייבום כלל ואפי' אינה ערוה הויא לה צרתה צרת ערוה שלא במקום מצוה דשריא וכדפי' בירושלמי.","""א""ל איילוני' במי שאינ' בעול'"".",1300,,
4735,yevamot,59,31,איילונית,59,34,בעולם.,נימוקי יוסף - יבמות,"פ""א א' ע""א",או נמצאו איילונייות שמקחו מקח טעות ... אבל רבא פירשה בין שהכיר בה בעלה בין שלא הכיר בה ... משום דכיון דלא חזיא ליבום כלל הרי היא כצרת ערוה שלא במקום מצוה ... והכי איתא בירושלמי אילונית כמי שאינה בעולם.,"הנ""י מזכיר ירושלמי זה גם להלן ב' ע""א",1450,,
,yevamot,67,20,ר',67,56,מת.,"תוספות הרא""ש","יבמות יב ע”ב ד""ה לאחר הזמן",והכי איתא בירושלמי רבי יונה בשם רבי הונא עיברה וילדה עד שלא הביאה שתי שערות היא ובנה מתים משהביאה שתי שערות היא ובנה חיים עיברה עד שלא הביאה וילדה משהביאה היא חיה ובנה מת,,1300,,
33758,yevamot,67,20,ר',,*,0,תוספות - יבמות,"יב ע""ב ד""ה אחר",וכן נמצא בירושלמי דתלי טעמא דרבה בר ליואי בשערות ולא בשנים:,,1200,5,310628_529
31152,yevamot,67,20,ר',67,56,מת.,"חי' הרשב""א - יבמות","יג ע""א, עמ' סו, ד""ה אפילו למאן",[וגרסינן בירושלמי] אמר ר' רדיפא ר' יונה בשם רב הונא עברה וילדה עד שלא הביאה שתי שערות היא ובנה מתים וכו' עברה עד שלא הביאה שתי שערות וילדה משהביאה שתי שערות היא חיה ובנה מת,,1275,4,448_00271214
7419,yevamot,67,43,עיברה,67,56,מת.,"חידושי הריטב""א-יבמות","יב, ב (עמ' רנו)",ובירושלמי אמרו שאם נתעברה בקטנות וילדה בגדלותה היא חיה ומת בנה.,,1300,,
7420,yevamot,67,43,עיברה,67,56,מת.,"חידושי הריטב""א-יבמות","יב, ב (עמ' רנט)","תדע דהא כתיבנא לעיל דכל שהיא קטנה בשעת עיבורה אינה חיה ואע""פ שתלד כשתגדיל, ואפילו לשיטת הירושלמי אין העובר חי מיהת. ",,1300,,
17226,yevamot,930,13,כל,930,22,מתייבמת.,בית הבחירה,"יבמות דף יג עמוד א ד""ה ולענין ביאור",ולענין ביאור כשהקשה לו תמאן השתא יכול היה לתרץ כאן שמתה שאינה יכולה עוד למאן וכם פירשוה בתלמוד המערב,,1375,3,803_210510
36471,yevamot,59,15,אילו,59,33,שאינה,"שו""ת הרשב""א ח""ד","סי' צז דף טז ע""ב","והכי אית' בירושלמי דגרסינן התם אילו בתו מן הנשואין בלא איילונית צרתה אסורה מפני שניתוסף בה איילונית צרתה מותרת. א""ל איילונית כמי שלא בא לעולם אלו שתי יבמות אחת איילונית ואחת שאינה איילונית ובא היבם וחלץ לה ובא עליה שמא פטר בחבירתה כלום הוי איילונית כמי שאינה ע""כ גירסת הירושלמי.",,1275,13,281135_1058
4736,yevamot,0,,,0,,0,נימוקי יוסף - יבמות,"ב' ע""א","ופרש""י ז""ל בשם הרב בעל הלכות ז""ל דטעמא משום דכיון דלא חזיא ליבום כלל הרי היא כצרת ערוה שלא במקום מצוה וה""נ איתא בירושל'.",,1450,,
13509,yevamot,927,4,אם,927,17,עוקרת.,"חידושי הרמב""ן - יבמות","עמוד כט [יג (יב אצל פינצ'וק) ע""א]","הא דאמרינן ממאנת למאמרו ואינה ממאנת לזיקתו אמרו בירושלמי אם באומרת אי אפשי לא בנשואיך ולא בנשואי אחיך כל עמא מודו שהיא עוקרת. [ואין גמרין סוברת כן... ובדין הוא דהוה לי' לתרוצי הכא, מאי יכולה למאן ולא מיאנה כגון שמתה, והתם ודאי אינה מתייבמת, וכך אמרו בירושלמי...]","פינצ'וק מפנה לטור 833, שם הגרסה היא ""שאינה עוקרת"".  [פלורסהיים ג(א), ע' יז] ",1250,4,708_00240390
31150,yevamot,59,15,אילו,59,33,שאינה,"חי' הרשב""א - יבמות","יב ע""ב, עמ' נט ד""ה אמר רבא הלכתא",[והכין איתא בירושלמי דגרסינן התם] אלו בתו מן הנישואין הלא אילונית צרתה אסורה מפני שניתוסף לה אילונית צרתה מותרת אמר ליה אילונית כמי שאינה בעולם אלו שתי יבמות אחת אילונית ואחת שאינה אילונית ובא היבם וחלץ לה ובא עליה שמא פטר בחבירתה כלום הוי אילונית כמי שאינה,,1275,3,447_00271213
17225,yevamot,59,16,בתו,59,33,שאינה,בית הבחירה,"יבמות, עמ' 57","ואף בתלמוד המערב שנאוה בטעם זה והוא ששאלו שם בתו מן הנשואין שאינה אילונית צרתה אסורה מפני שניתוסף לה אילונית צרתה מותרת אמר ליה אילונית כמי שאינה בעולם הגע עצמך אילו שתי יבמות אחת אילונית ואחת שאינה אילונית ובא היבם וחלץ לה ובא עליה שמא פטר בחברתה כלום הוי אילונית כמי שאינה כלומר הואיל ואין ביאתה או חליצתה פוטרת צרתה אע""פ שאינה ערוה הרי היא כמי שאין עליה זיקה כלל והויא לה אידך כצרת ערוה שלא במקום מצות יבום",,1375,2,802_210509
,yevamot,60,2,ובתו,60,24,אביה.,"פסקי הרי""ד - יבמות","יב עמוד א ד""ה אמ' רב","והכי נמי אמרי' בירושלמי גבי מתני' דתנן וכולן אם מתו או מיאנו או נתגרשו כו', ובתו ממאנת ולאו נשאין דאוריתא הם, תפתר בקטנה שהשיאה אביה ונתגרשה שהיא כיתומה בחיי האב",,1200,,
,yevamot,60,2,ובתו,60,24,אביה.,חידושי ר' אברהם מן ההר - יבמות,"ב ע”ב ד""ה שלא היה","ומיאון בבתו היכי משכחת לה, כגון שהשיאה אביה ונתגרשה ועדיין היא קטנה, והרי היא ברשות עצמה ואין לאביה רשות בה. ושוב נישואיה דרבנן ויכולה למאן, כדאיתא בירושלמי",,#N/A,,
696,yevamot,60,2,ובתו,60,24,אביה.,המנהיג,"הל' מיאון מה' רפאל עמ' תרצ""ד",ובריש יבמות ירוש'. ובתו ממאנת ולאו נישואי תורה הן. תפתר כשנעשה בה מעשה יתומה בחיי האב כשהשיאה אביה ונתגרשה בעודה קטנה והשיאה את עצמה,,1200,,
,yevamot,74,4,אין,74,8,בלבד.,חידושי ר' אברהם מן ההר - יבמות,"יג ע”א ד""ה שש עריות",וצרותיהן מותרות. שאין צרה אלא מאח כדלעיל. ירושלמי,,#N/A,,
,yevamot,78,5,ר',79,36,זר.,"חי' הרשב""א - יבמות","יג ע”ב ד""ה אלא חוצה","וכי הא איכא בירושלמי דגרסינן התם ר' סימון בשם ר' יוסי בן נהריי טעמון דב""ש לא תהיה אשת המת החוצה לאיש זר החיצונה לא תהיה לאיש זר ואתיא דב""ש כאילין כותאי שהן מיבמין את הארוסות ומוציאין את הנשואות דאינון דרשין חוצה החיצונה מה מקיימין דב""ש ובן אין לו א""ר יעקב דרומייה קומי ר' יוסא ובן אין לו מן הנשואה החיצונה לא תהי' לאיש זר אלמא משמע להו מובן אין לו דבנשואה הכתוב מדבר",,1275,,
7423,yevamot,81,28,והא,81,37,שלשאול.,"חידושי הריטב""א-יבמות","יג, ב (עמ' רעג)",הקשו בירושלמי והכתיב ישובו רשעים לשאולה ותירצו לדיוטא התחתונה שבשאול. ,,1300,,
31158,yevamot,81,28,והא,81,37,שלשאול.,"חי' הרשב""א - יבמות","יג ע""ב, עמ' סח, ד""ה:: כל תיבה שצריכה",[והקשו בירושלמי] והא כתיב ישובו רשעים לשאולה  (להלן פי' הדברים) [ומשני] לדייטי התחתונה שבשאול,,1275,6,451_00271217
17228,yevamot,81,28,והא,81,37,שלשאול.,בית הבחירה,"יבמות, עמ' 61","ובתלמוד מהערב הקשו והא  כתיב ישובו הרשעים לשאולה ותירצו דההיא לדיוטי התחתונה שבשאול ר""ל למדרגה כלומר לחוזק הענין הטיל לה הכתוב למ""ד וה""א",,1375,5,805_210512
,yevamot,73,17,חמורות.,73,23,בעבירה.,חידושי ר' אברהם מן ההר - יבמות,"יג ע”א ד""ה שש עריות","חמורות. שאינן יכולות לינשא לאחיו אלא בעבירה. זו היא חומר שלהן, כדאיתא בירושלמי",,#N/A,,
32224,yevamot,90,15,זכור,90,27,תורה.,"מגן אבות לרשב""ץ","דף כ""ו ע""א","ורבינו שלמה ז""ל פירשו יפה וזה לשונו אשרי יולדתו שהיא גרמה לו שהוא חכם שכל אותם ימים שעיברה אמו ממנו היתה מחזרת בכל יום על ארבעה ועשרים בתי מדרשות שהיו בעירה ואומרת להם בבקשה מכם בקשו רחמים על העוב' הזה שיהיה חכם כדאיתא בתלמוד ירושלמי עד כאן לשונו ז""ל. וגם ראיתי אני בירושלמי בראשון מיבמות שאמר רבי דוסא בן הרכינס לחכמי ישראל עליו שמיום שנולד לא הוציאה העריסה שהיה בה מבית המדרש כדי שלא יכנסו באזניו אלא דברי תורה ...",,1400,42,300596_42
19228,yevamot,90,15,זכור,90,27,תורה.,"אור זרוע ח""ב",ה' שבת (מח)   יא ב,"יהושע בן חנניא אשרי יולדתו.  ומפרש בירו' פ""ק דיבמו' משום שהי' אמו מוליכתו לביהמ""ד כדי שידבקו אזניו בד""ת",,1215,8,170052_682
,yevamot,90,15,זכור,90,27,תורה.,"רש""י",אבות פרק ב משנה ח,ואני שמעתי לפי שאמו גרמה לו שיהיה חכם שכל הימים שעברתו אמו היתה מחזרת בכל יום על כל בתי מדרשות שהיו בעיר ואומרת להם בבקשה מכם בקשו רחמים על העובר הזה שיהיה חכם. בגמרא ירושלמי,"אמרי בינה, סי' ב' אות ד, עמ' תתצג",#N/A,,
,yevamot,90,15,זכור,90,27,תורה.,ספר יוחסין,"מאמר ראשון אלף בית אות היו""ד ד""ה רבי יהושע","וכבר אמרנו משם הירושלמי דיבמות פ' ראשון (משנה ו') שאמו כשהיתה מעוברת היתה הולכת לכ""ד מדרשות שיתפללו על העובר שיהיה חכם וזהו אשרי יולדתו",,#N/A,,
,yevamot,73,8,הכא,73,23,בעבירה.,יחוסי תנאים ואמוראים,[רבי יהושע בן חנניה],"רבי יהושע סתם שבכל המשנה וברייתא הוא רבי יהושע בן חנניה, שקרא לו רבן יוחנן בן זכאי ""אשרי יולדתו"". שהיתה אמו מטלת עריסו ומניחתו בבית המדרש בין ברכי חכמים",בשינויים. זיהוי מסופק,1250,,
3859,yevamot,90,*,,90,27,תורה.,יחוסי תנאים ואמוראים,"""רבי יהושע בן חנניה"" [בלוי כ""א עמ' קצו]","ביבמות ירושלמי הלכה כשהלך רבי יהושע אצל רבי דוסא בן הורקינס לשאל על צרת הבת הוא ורבי עקיבא ורבי אלעזר בן עזריה קרא על רבי יהושע ""את מי יורה דיעה"". זכור אני כשהיתה אמו מולכת עריסתו לבית הכנסת בשביל שידבקו אזניו בדברי תורה.","נרמז גם בראש הערך (עמ' קצא): ""...שקרא לו רבן רבן יוחנן בן זכאי ""אשרי יולדתו"". שהיתה אמו מטלת עריסתו ומניחתו בבית המדרש בין ברכי חכמים""",1250,,
13510,yevamot,98,8,מודין,98,13,לחומרין.,"חידושי הרמב""ן - יבמות","עמוד לג [יד ע""ב]","וכך אמרו בירושלמי מודים בית שמאי לב""ה לחומרין...","[פלורסהיים ג(א), ע' יח]",1250,5,709_00240391
31165,yevamot,104,4,יחדיו.,105,61,בעולמו.,"חי' הרשב""א - יבמות","יז ע""ב, עמ' פא ד""ה: אשת אחיו שלא",[והכי איתא בירושלמי דגרסינן התם] יחדיו פרט לאשת אחיו שלא היה בעולמו דלא כן מה נן מרין מת בלא בנים *ואין לו אח תהא אשתו אסורה להנשא שמא יוליד אביו בן ותהא אשתו זקוקה ליבום מעתה אפילו מתה אמו תהא אסורה להנשא שמא ילך אביו וישא אשה אחרת ויוליד בן ותהא אשתו זקוקה ליבום ויאמר קרייה ובן ואב אין לו (להלן פי' הדברים) [ומשני] אלא כן נן קיימין שמת והניח** אמו מעוברת שלא תאמר אלו שמת והניח אשתו מעוברת שמא אינה צריכה להמתין ולידע אם בן של קיימא הוא או אינו בן קיימא לפום כן צריך למימר יחדיו פרט לאשת אחיו שלא היה בעולמו,"מובא פעמיים אצל פינצ'וק, גם לגבי טור 836 שורות 19-9",1275,8,453_00271219
